#Entity   SMCLK        MMCLK        DVCCTR                      MMTMP             TMPTR        POWER             TOTEC                   PSTAT        FANSP        GPUTL             MCUTL             ECUTL             DCUTL             MUSAM             GUSAM             PVIOL             TVIOL             SBVIO             BLVIO                       LUVIO                       RVIOL                       TAPCV                       TAPBC                       FBUSD             GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID                                                              C                  C            W                 mJ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
GPU 0     1950         6500         0                           0                 49           104.219           2303525806              2            33           48                0                 0                 0                 0.000             96.000            0                 0                 0                 0                           0                           0                           24336320610624              24336320610624              167               0.995        0.593        0.404        0.000        0.000        0.000        0.068        0.000        214840989                   429681978                   0                           0                           
GPU 0     1950         6500         0                           0                 50           158.155           2303539745              2            33           47                0                 0                 0                 0.000             47.000            0                 0                 0                 0                           0                           0                           24336421444608              24336421444608              167               0.998        0.591        0.403        0.000        0.000        0.000        0.067        0.000        96995628                    426602967                   0                           0                           
GPU 0     1950         6500         0                           0                 50           201.663           2303558135              2            33           47                0                 0                 0                 0.000             47.000            0                 0                 0                 0                           0                           0                           24336522329216              24336522329216              167               0.998        0.590        0.403        0.000        0.000        0.000        0.067        0.000        96306608                    425459146                   0                           0                           
GPU 0     1950         6500         0                           0                 50           201.620           2303576438              2            33           100               0                 0                 0                 0.000             99.000            0                 0                 0                 0                           0                           0                           24336623136320              24336623136320              167               0.998        0.590        0.403        0.000        0.000        0.000        0.067        0.000        96794212                    426107210                   0                           0                           
GPU 0     1950         6500         0                           0                 50           201.369           2303594684              2            33           100               0                 0                 0                 0.000             99.000            0                 0                 0                 0                           0                           0                           24336723897696              24336723897696              167               0.998        0.590        0.403        0.000        0.000        0.000        0.067        0.000        96937443                    426321917                   0                           0                           
GPU 0     1950         6500         0                           0                 50           201.800           2303612884              2            33           100               0                 0                 0                 0.000             99.000            0                 0                 0                 0                           0                           0                           24336824770432              24336824770432              167               0.998        0.591        0.403        0.000        0.000        0.000        0.067        0.000        96803528                    426182278                   0                           0                           
GPU 0     1950         6500         0                           0                 50           201.444           2303630969              2            33           100               0                 0                 0                 0.000             99.000            0                 0                 0                 0                           0                           0                           24336925539072              24336925539072              167               0.998        0.590        0.403        0.000        0.000        0.000        0.067        0.000        96746227                    426031067                   0                           0                           
GPU 0     1950         6500         0                           0                 50           202.040           2303649030              2            33           100               0                 0                 0                 0.000             99.000            0                 0                 0                 0                           0                           0                           24337026280384              24337026280384              167               0.998        0.590        0.403        0.000        0.000        0.000        0.067        0.000        96958917                    426265548                   0                           0                           
GPU 0     1950         6500         0                           0                 51           201.908           2303667011              2            33           100               0                 0                 0                 0.000             99.000            0                 0                 0                 0                           0                           0                           24337127049920              24337127049920              167               0.998        0.590        0.403        0.000        0.000        0.000        0.067        0.000        97217700                    426453697                   0                           0                           
GPU 0     1950         6500         0                           0                 51           202.173           2303685016              2            33           100               0                 0                 0                 0.000             99.000            0                 0                 0                 0                           0                           0                           24337227790368              24337227790368              167               0.998        0.590        0.403        0.000        0.000        0.000        0.067        0.000        97073082                    426421018                   0                           0                           
