#Entity   SMCLK        MMCLK        DVCCTR                      MMTMP             TMPTR        POWER             TOTEC                   PSTAT        FANSP        GPUTL             MCUTL             ECUTL             DCUTL             MUSAM             GUSAM             PVIOL             TVIOL             SBVIO             BLVIO                       LUVIO                       RVIOL                       TAPCV                       TAPBC                       FBUSD             GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID                                                              C                  C            W                 mJ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
GPU 0     1440         6500         0                           0                 22           17.465            2292555816              2            33           2                 0                 0                 0                 2.000             96.000            0                 0                 0                 0                           0                           0                           24268846523840              24268846523840              167               0.999        0.585        0.400        0.000        0.000        0.000        0.066        0.000        226666666                   333333333                   0                           0                           
GPU 0     1440         6500         0                           0                 23           53.418            2292563888              2            33           2                 0                 0                 0                 2.000             96.000            0                 0                 0                 0                           0                           0                           24268947363424              24268947363424              167               0.998        0.594        0.405        0.000        0.000        0.000        0.067        0.000        74728199                    320032731                   0                           0                           
GPU 0     1995         6500         0                           0                 24           91.994            2292576053              2            33           83                0                 0                 0                 0.000             82.000            0                 0                 0                 0                           0                           0                           24269048153504              24269048153504              167               0.998        0.592        0.404        0.000        0.000        0.000        0.067        0.000        97885575                    428473839                   0                           0                           
GPU 0     1995         6500         0                           0                 25           137.865           2292588852              2            33           83                0                 0                 0                 0.000             82.000            0                 0                 0                 0                           0                           0                           24269148960544              24269148960544              167               0.998        0.593        0.404        0.000        0.000        0.000        0.067        0.000        99853468                    439487840                   0                           0                           
GPU 0     1995         6500         0                           0                 26           181.187           2292602059              2            33           100               0                 0                 0                 0.000             99.000            0                 0                 0                 0                           0                           0                           24269250045664              24269250045664              167               0.998        0.593        0.404        0.000        0.000        0.000        0.067        0.000        100206653                   440731199                   0                           0                           
GPU 0     1995         6500         0                           0                 26           185.862           2292615493              2            33           100               0                 0                 0                 0.000             99.000            0                 0                 0                 0                           0                           0                           24269350705504              24269350705504              167               0.998        0.593        0.404        0.000        0.000        0.000        0.067        0.000        99987593                    440608610                   0                           0                           
GPU 0     1995         6500         0                           0                 27           188.225           2292629037              2            33           100               0                 0                 0                 0.000             99.000            0                 0                 0                 0                           0                           0                           24269453104608              24269453104608              167               0.998        0.593        0.404        0.000        0.000        0.000        0.067        0.000        100169552                   440814492                   0                           0                           
GPU 0     1995         6500         0                           0                 27           189.489           2292644454              2            33           100               0                 0                 0                 0.000             99.000            0                 0                 0                 0                           0                           0                           24269554979584              24269554979584              167               0.998        0.593        0.405        0.000        0.000        0.000        0.067        0.000        100109886                   440772986                   0                           0                           
GPU 0     1995         6500         0                           0                 27           191.337           2292659826              2            33           100               0                 0                 0                 0.000             99.000            0                 0                 0                 0                           0                           0                           24269655591392              24269655591392              167               0.998        0.593        0.405        0.000        0.000        0.000        0.067        0.000        100188478                   440852578                   0                           0                           
GPU 0     1995         6500         0                           0                 27           191.933           2292675115              2            33           100               0                 0                 0                 0.000             99.000            0                 0                 0                 0                           0                           0                           24269756250048              24269756250048              167               0.998        0.593        0.405        0.000        0.000        0.000        0.067        0.000        99938841                    440648415                   0                           0                           
GPU 0     1995         6500         0                           0                 27           190.921           2292690294              2            33           100               0                 0                 0                 0.000             99.000            0                 0                 0                 0                           0                           0                           24269856974912              24269856974912              167               0.998        0.593        0.404        0.000        0.000        0.000        0.067        0.000        99965264                    440671741                   0                           0                           
GPU 0     1995         6500         0                           0                 27           189.329           2292705498              2            33           100               0                 0                 0                 0.000             99.000            0                 0                 0                 0                           0                           0                           24269957730080              24269957730080              167               0.998        0.593        0.405        0.000        0.000        0.000        0.067        0.000        100180030                   441034981                   0                           0                           
GPU 0     1995         6500         0                           0                 28           189.351           2292720703              2            33           100               0                 0                 0                 0.000             99.000            0                 0                 0                 0                           0                           0                           24270058467488              24270058467488              167               0.998        0.593        0.405        0.000        0.000        0.000        0.067        0.000        100230292                   440946876                   0                           0                           
GPU 0     1995         6500         0                           0                 28           189.561           2292735954              2            33           100               0                 0                 0                 0.000             99.000            0                 0                 0                 0                           0                           0                           24270159210112              24270159210112              167               0.998        0.593        0.405        0.000        0.000        0.000        0.067        0.000        100158021                   440956272                   0                           0                           
