#Entity   SMCLK        MMCLK        DVCCTR                      MMTMP             TMPTR        POWER             TOTEC                   PSTAT        FANSP        GPUTL             MCUTL             ECUTL             DCUTL             MUSAM             GUSAM             PVIOL             TVIOL             SBVIO             BLVIO                       LUVIO                       RVIOL                       TAPCV                       TAPBC                       FBUSD             GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID                                                              C                  C            W                 mJ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
GPU 0     1500         6500         0                           0                 24           63.074            1036859084              2            33           42                1                 0                 0                 0.000             22.000            0                 0                 0                 0                           0                           0                           9153916925184               9153916925184               1189              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        181443298                   16494845                    0                           0                           
GPU 0     1500         6500         0                           0                 24           63.810            1036864433              2            33           42                1                 0                 0                 0.000             22.000            0                 0                 0                 0                           0                           0                           9154017936544               9154017936544               1189              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        293285                      26289                       0                           0                           
GPU 0     1500         6500         0                           0                 24           71.842            1036877042              2            33           3                 0                 0                 0                 0.000             2.000             0                 0                 0                 0                           0                           0                           9154118976128               9154118976128               1189              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        333396                      113993                      0                           0                           
GPU 0     1500         6500         0                           0                 24           73.301            1036883661              2            33           3                 0                 0                 0                 0.000             2.000             0                 0                 0                 0                           0                           0                           9154219567424               9154219567424               1189              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        627431                      566350                      0                           0                           
GPU 0     1500         6500         0                           0                 24           73.470            1036890312              2            33           0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           9154320201920               9154320201920               1189              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        3116163                     2788596                     0                           0                           
GPU 0     1500         6500         0                           0                 24           73.585            1036896974              2            33           0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           9154420803168               9154420803168               1189              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        3114454                     2804480                     0                           0                           
GPU 0     1500         6500         0                           0                 24           73.707            1036903664              2            33           0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           9154521428992               9154521428992               1189              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        3217529                     2914606                     0                           0                           
GPU 0     1500         6500         0                           0                 24           73.471            1036910327              2            33           0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           9154622040320               9154622040320               1189              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        3727440                     3242107                     0                           0                           
GPU 0     1500         6500         0                           0                 24           72.997            1036916951              2            33           0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           9154722613568               9154722613568               1189              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        3944553                     3434356                     0                           0                           
GPU 0     1500         6500         0                           0                 24           72.227            1036923595              2            33           0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           9154823262176               9154823262176               1189              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        4058566                     3633714                     0                           0                           
