#Entity   SMCLK        MMCLK        DVCCTR                      MMTMP             TMPTR        POWER             TOTEC                   PSTAT        FANSP        GPUTL             MCUTL             ECUTL             DCUTL             MUSAM             GUSAM             PVIOL             TVIOL             SBVIO             BLVIO                       LUVIO                       RVIOL                       TAPCV                       TAPBC                       FBUSD             GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID                                                              C                  C            W                 mJ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
GPU 0     1440         6500         0                           0                 25           64.578            1045223994              2            33           37                1                 0                 0                 0.000             1.000             0                 0                 0                 0                           0                           0                           9455049050560               9455049050560               1189              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        185263157                   16842105                    0                           0                           
GPU 0     1440         6500         0                           0                 26           64.320            1045229353              2            33           7                 1                 0                 0                 0.000             1.000             0                 0                 0                 0                           0                           0                           9455152799232               9455152799232               1189              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        2918256                     2330070                     0                           0                           
GPU 0     1440         6500         0                           0                 26           69.989            1045234986              2            33           7                 0                 0                 0                 0.000             7.000             0                 0                 0                 0                           0                           0                           9455254966432               9455254966432               1189              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        3103081                     2640344                     0                           0                           
GPU 0     1440         6500         0                           0                 26           69.892            1045241746              2            33           0                 0                 0                 0                 0.000             7.000             0                 0                 0                 0                           0                           0                           9455355654400               9455355654400               1189              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        3879963                     3318016                     0                           0                           
GPU 0     1440         6500         0                           0                 26           70.025            1045248538              2            33           0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           9455456365792               9455456365792               1189              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        3768576                     3364261                     0                           0                           
GPU 0     1440         6500         0                           0                 26           70.122            1045254040              2            33           0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           9455557010336               9455557010336               1189              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        3842958                     3515978                     0                           0                           
GPU 0     1440         6500         0                           0                 26           70.212            1045259566              2            33           0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           9455657669760               9455657669760               1189              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        3726415                     3554263                     0                           0                           
GPU 0     1440         6500         0                           0                 26           70.226            1045265112              2            33           0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           9455758475648               9455758475648               1189              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        3942829                     3382438                     0                           0                           
GPU 0     1440         6500         0                           0                 26           70.183            1045270643              2            33           0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           9455859258176               9455859258176               1189              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        3709888                     3263205                     0                           0                           
GPU 0     1440         6500         0                           0                 26           70.110            1045276158              2            33           0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           9455959849792               9455959849792               1189              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        3662888                     3350629                     0                           0                           
GPU 0     1440         6500         0                           0                 26           70.087            1045281680              2            33           0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           9456060543200               9456060543200               1189              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        1070445                     1423323                     0                           0                           
GPU 0     1440         6500         0                           0                 26           70.341            1045287238              2            33           0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           9456161264032               9456161264032               1189              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        3619820                     3241723                     0                           0                           
GPU 0     1440         6500         0                           0                 26           70.244            1045292791              2            33           0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           9456261946496               9456261946496               1189              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        3985391                     3630570                     0                           0                           
GPU 0     1440         6500         0                           0                 26           70.340            1045298357              2            33           0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           9456362640448               9456362640448               1189              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        3708547                     3234927                     0                           0                           
GPU 0     1440         6500         0                           0                 26           70.369            1045303952              2            33           0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           9456463489824               9456463489824               1189              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        3892609                     3512634                     0                           0                           
