#Entity   SMCLK        MMCLK        DVCCTR                      MMTMP             TMPTR        POWER             TOTEC                   PSTAT        FANSP        GPUTL             MCUTL             ECUTL             DCUTL             MUSAM             GUSAM             PVIOL             TVIOL             SBVIO             BLVIO                       LUVIO                       RVIOL                       TAPCV                       TAPBC                       FBUSD             GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID                                                              C                  C            W                 mJ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
GPU 3     135          877          1                           29                30           39.494            417096571               0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           10579346812224              10579346812224              0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        3356367                     6712734                     0                           0                           
GPU 2     135          877          1                           24                27           39.572            417423210               0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           10581574794304              10581574794304              0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        873642                      2317051                     0                           0                           
GPU 1     135          877          1                           25                26           39.520            416287824               0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           10584083076320              10584083076320              0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        589971                      1812054                     0                           0                           
GPU 0     1530         877          0                           61                60           168.720           1684931840              0            N/A          15                1                 0                 0                 54.000            98.000            0                 0                 0                 0                           0                           0                           2373469537248               2373469537248               565               1.000        0.999        0.691        0.000        0.388        0.000        0.000        0.000        7062381                     21568101                    0                           0                           
GPU 3     135          877          1                           29                30           39.494            417100524               0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           10579447881600              10579447881600              0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        848423                      1303858                     0                           0                           
GPU 2     135          877          1                           25                27           39.598            417427165               0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           10581675865152              10581675865152              0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        658370                      1080777                     0                           0                           
GPU 1     135          877          1                           25                26           39.494            416291808               0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           10584184144352              10584184144352              0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        741098                      1149241                     0                           0                           
GPU 0     1530         877          0                           62                62           196.076           1684951466              0            N/A          15                1                 0                 0                 54.000            98.000            0                 0                 0                 0                           0                           0                           2373469537248               2373469537248               565               1.000        0.000        0.000        0.000        0.389        0.000        0.178        0.000        7370190                     21308105                    0                           0                           
GPU 3     135          877          1                           28                30           39.494            417104506               0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           10579549145184              10579549145184              0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        645619                      1112609                     0                           0                           
GPU 2     135          877          1                           24                27           39.598            417431123               0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           10581777021248              10581777021248              0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        734981                      1241064                     0                           0                           
GPU 1     135          877          1                           25                26           39.494            416295794               0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           10584285183712              10584285183712              0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        734311                      1213684                     0                           0                           
GPU 0     1530         877          0                           63                62           196.076           1684971248              0            N/A          98                55                0                 0                 54.000            97.000            0                 0                 0                 0                           0                           0                           2373469537248               2373469537248               565               1.000        0.999        0.692        0.000        0.389        0.000        0.178        0.000        7428140                     21374615                    0                           0                           
