#Entity   SMCLK        MMCLK        DVCCTR                      MMTMP             TMPTR        POWER             TOTEC                   PSTAT        FANSP        GPUTL             MCUTL             ECUTL             DCUTL             MUSAM             GUSAM             PVIOL             TVIOL             SBVIO             BLVIO                       LUVIO                       RVIOL                       TAPCV                       TAPBC                       FBUSD             GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID                                                              C                  C            W                 mJ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
GPU 0     1530         877          0                           62                61           78.535            1691012669              0            N/A          100               56                0                 0                 55.000            99.000            0                 0                 0                 0                           0                           0                           2373469537248               2373469537248               0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        158701532                   14427412                    0                           0                           
GPU 0     1530         877          0                           61                61           78.970            1691020584              0            N/A          10                1                 0                 0                 55.000            99.000            0                 0                 0                 0                           0                           0                           2373469537248               2373469537248               0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        1742569                     1827215                     0                           0                           
GPU 0     1530         877          0                           60                60           78.970            1691028482              0            N/A          10                1                 0                 0                 55.000            99.000            0                 0                 0                 0                           0                           0                           2373469537248               2373469537248               0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        1751729                     1910262                     0                           0                           
GPU 0     1530         877          0                           60                60           78.970            1691036445              0            N/A          0                 0                 0                 0                 55.000            99.000            0                 0                 0                 0                           0                           0                           2373469537248               2373469537248               0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        557920                      502572                      0                           0                           
GPU 0     1530         877          0                           60                60           78.970            1691044339              0            N/A          0                 0                 0                 0                 55.000            99.000            0                 0                 0                 0                           0                           0                           2373469537248               2373469537248               0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        939212                      903697                      0                           0                           
GPU 0     1530         877          0                           60                59           78.484            1691052207              0            N/A          0                 0                 0                 0                 55.000            99.000            0                 0                 0                 0                           0                           0                           2373469537248               2373469537248               0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        1461779                     1704342                     0                           0                           
GPU 0     1530         877          0                           60                59           78.484            1691060051              0            N/A          0                 0                 0                 0                 55.000            99.000            0                 0                 0                 0                           0                           0                           2373469537248               2373469537248               0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        1208422                     1326057                     0                           0                           
GPU 0     1530         877          0                           59                59           78.484            1691067889              0            N/A          0                 0                 0                 0                 55.000            99.000            0                 0                 0                 0                           0                           0                           2373469537248               2373469537248               0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        485984                      389842                      0                           0                           
GPU 0     1530         877          0                           59                59           78.484            1691075738              0            N/A          0                 0                 0                 0                 55.000            99.000            0                 0                 0                 0                           0                           0                           2373469537248               2373469537248               0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        878975                      860739                      0                           0                           
GPU 0     1530         877          0                           59                59           78.484            1691083586              0            N/A          0                 0                 0                 0                 55.000            99.000            0                 0                 0                 0                           0                           0                           2373469537248               2373469537248               0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        1541796                     1734582                     0                           0                           
GPU 0     1530         877          0                           59                59           78.484            1691091427              0            N/A          0                 0                 0                 0                 55.000            99.000            0                 0                 0                 0                           0                           0                           2373469537248               2373469537248               0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        987711                      947667                      0                           0                           
