#Entity   SMCLK        MMCLK        DVCCTR                      MMTMP             TMPTR        POWER             TOTEC                   PSTAT        FANSP        GPUTL             MCUTL             ECUTL             DCUTL             MUSAM             GUSAM             PVIOL             TVIOL             SBVIO             BLVIO                       LUVIO                       RVIOL                       TAPCV                       TAPBC                       FBUSD             GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID                                                              C                  C            W                 mJ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
GPU 0     1290         877          0                           33                35           56.168            1264346824              0            N/A          31                2                 0                 0                 1.000             28.000            0                 0                 0                 0                           0                           0                           2373469537248               2373469537248               1333              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        162062615                   29465930                    0                           0                           
GPU 0     1290         877          0                           33                35           57.143            1264352525              0            N/A          31                2                 0                 0                 1.000             28.000            0                 0                 0                 0                           0                           0                           2373469537248               2373469537248               1333              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        1371136                     1655065                     0                           0                           
GPU 0     1290         877          0                           33                35           57.143            1264358246              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           2373469537248               2373469537248               1333              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        1397297                     1666975                     0                           0                           
GPU 0     1290         877          0                           33                35           57.143            1264363996              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           2373469537248               2373469537248               1333              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        534397                      492926                      0                           0                           
GPU 0     1290         877          0                           33                35           57.143            1264369707              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           2373469537248               2373469537248               1333              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        884744                      879087                      0                           0                           
GPU 0     1290         877          0                           33                35           57.143            1264375417              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           2373469537248               2373469537248               1333              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        1458736                     1694687                     0                           0                           
GPU 0     1290         877          0                           33                35           57.143            1264381129              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           2373469537248               2373469537248               1333              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        1050872                     974420                      0                           0                           
GPU 0     1290         877          0                           33                35           57.143            1264386842              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           2373469537248               2373469537248               1333              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        793207                      743599                      0                           0                           
GPU 0     1290         877          0                           33                35           57.143            1264392553              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           2373469537248               2373469537248               1333              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        830833                      857633                      0                           0                           
GPU 0     1290         877          0                           33                35           57.143            1264398266              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           2373469537248               2373469537248               1333              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        1289083                     1508382                     0                           0                           
GPU 0     1290         877          0                           33                35           57.143            1264403979              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           2373469537248               2373469537248               1333              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        702702                      791071                      0                           0                           
GPU 0     1290         877          0                           33                35           57.143            1264409691              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           2373469537248               2373469537248               1333              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        878885                      870756                      0                           0                           
GPU 0     1290         877          0                           33                35           57.143            1264415402              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           2373469537248               2373469537248               1333              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        910324                      895731                      0                           0                           
GPU 0     1290         877          0                           33                35           57.143            1264421120              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           2373469537248               2373469537248               1333              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        606769                      541516                      0                           0                           
GPU 0     1290         877          0                           33                35           57.143            1264426827              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           2373469537248               2373469537248               1333              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        804538                      734071                      0                           0                           
#Entity   SMCLK        MMCLK        DVCCTR                      MMTMP             TMPTR        POWER             TOTEC                   PSTAT        FANSP        GPUTL             MCUTL             ECUTL             DCUTL             MUSAM             GUSAM             PVIOL             TVIOL             SBVIO             BLVIO                       LUVIO                       RVIOL                       TAPCV                       TAPBC                       FBUSD             GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID                                                              C                  C            W                 mJ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
