#Entity   SMCLK        MMCLK        DVCCTR                      MMTMP             TMPTR        POWER             TOTEC                   PSTAT        FANSP        GPUTL             MCUTL             ECUTL             DCUTL             MUSAM             GUSAM             PVIOL             TVIOL             SBVIO             BLVIO                       LUVIO                       RVIOL                       TAPCV                       TAPBC                       FBUSD             GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID                                                              C                  C            W                 mJ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
GPU 0     1357         877          0                           36                38           58.605            1281733522              0            N/A          42                2                 0                 0                 0.000             1.000             0                 0                 0                 0                           0                           0                           2373469537248               2373469537248               1333              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        168744007                   30680728                    0                           0                           
GPU 0     1357         877          0                           36                38           60.028            1281739494              0            N/A          8                 0                 0                 0                 0.000             8.000             0                 0                 0                 0                           0                           0                           2373469537248               2373469537248               1333              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        1318216                     1641957                     0                           0                           
GPU 0     1357         877          0                           36                38           60.067            1281745506              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           2373469537248               2373469537248               1333              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        1252390                     1490492                     0                           0                           
GPU 0     1357         877          0                           36                38           60.028            1281751513              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           2373469537248               2373469537248               1333              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        494964                      406395                      0                           0                           
GPU 0     1357         877          0                           36                38           60.028            1281757515              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           2373469537248               2373469537248               1333              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        858867                      858987                      0                           0                           
GPU 0     1357         877          0                           36                38           60.028            1281763517              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           2373469537248               2373469537248               1333              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        1382095                     1667886                     0                           0                           
GPU 0     1357         877          0                           36                38           60.067            1281769581              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           2373469537248               2373469537248               1333              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        526137                      488144                      0                           0                           
GPU 0     1357         877          0                           36                38           60.028            1281775580              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           2373469537248               2373469537248               1333              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        824947                      835902                      0                           0                           
GPU 0     1357         877          0                           36                38           60.067            1281781603              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           2373469537248               2373469537248               1333              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        849802                      928770                      0                           0                           
GPU 0     1357         877          0                           36                38           60.028            1281787586              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           2373469537248               2373469537248               1333              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        1342054                     1518128                     0                           0                           
GPU 0     1357         877          0                           36                38           60.028            1281793592              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           2373469537248               2373469537248               1333              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        625346                      680534                      0                           0                           
GPU 0     1357         877          0                           36                38           60.028            1281799595              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           2373469537248               2373469537248               1333              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        905316                      878698                      0                           0                           
GPU 0     1357         877          0                           36                38           60.028            1281805597              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           2373469537248               2373469537248               1333              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        877246                      869320                      0                           0                           
GPU 0     1357         877          0                           36                38           60.028            1281811615              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           2373469537248               2373469537248               1333              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        607555                      551849                      0                           0                           
GPU 0     1357         877          0                           36                38           60.067            1281817613              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           2373469537248               2373469537248               1333              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        776678                      706325                      0                           0                           
#Entity   SMCLK        MMCLK        DVCCTR                      MMTMP             TMPTR        POWER             TOTEC                   PSTAT        FANSP        GPUTL             MCUTL             ECUTL             DCUTL             MUSAM             GUSAM             PVIOL             TVIOL             SBVIO             BLVIO                       LUVIO                       RVIOL                       TAPCV                       TAPBC                       FBUSD             GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID                                                              C                  C            W                 mJ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
GPU 0     1357         877          0                           36                38           60.028            1281823618              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           2373469537248               2373469537248               1333              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        852536                      867665                      0                           0                           
GPU 0     1357         877          0                           36                38           60.028            1281829623              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           2373469537248               2373469537248               1333              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        842702                      795676                      0                           0                           
GPU 0     1357         877          0                           36                38           60.028            1281835629              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           2373469537248               2373469537248               1333              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        737580                      807400                      0                           0                           
GPU 0     1357         877          0                           36                38           60.028            1281841632              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           2373469537248               2373469537248               1333              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        905216                      903470                      0                           0                           
GPU 0     1357         877          0                           36                38           60.028            1281847635              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           2373469537248               2373469537248               1333              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        852166                      853807                      0                           0                           
GPU 0     1357         877          0                           36                38           60.067            1281853636              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           2373469537248               2373469537248               1333              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        911103                      837848                      0                           0                           
GPU 0     1357         877          0                           36                38           60.067            1281859640              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           2373469537248               2373469537248               1333              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        830550                      890406                      0                           0                           
GPU 0     1357         877          0                           36                38           60.028            1281865643              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           2373469537248               2373469537248               1333              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        766035                      701407                      0                           0                           
GPU 0     1357         877          0                           36                38           60.028            1281871645              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           2373469537248               2373469537248               1333              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        800789                      834169                      0                           0                           
GPU 0     1357         877          0                           36                38           60.028            1281877648              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           2373469537248               2373469537248               1333              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        723162                      536957                      0                           0                           
GPU 0     1357         877          0                           36                38           60.028            1281883648              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           2373469537248               2373469537248               1333              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        1043176                     1093076                     0                           0                           
GPU 0     1290         877          0                           36                38           57.143            1281889471              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           2373469537248               2373469537248               1333              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        944287                      885927                      0                           0                           
GPU 0     1290         877          0                           36                38           57.630            1281895225              0            N/A          0                 0                 0                 0                 0.000             0.000             0                 0                 0                 0                           0                           0                           2373469537248               2373469537248               1333              0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        852496                      854395                      0                           0                           
